City,Population as of (2010  Census),State,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
Beverly Hills,34109,CA,1306,813300,817600,817500,815100,812300,807700,808100,810600,814500,820200,827900,833300,839300,846300,854600,863600,875100,887900,898800,907300,913600,919600,927900,939300,951500,963300,976500,990800,1005800,1025300,1048000,1067000,1078600,1088000,1099000,1113800,1127300,1141100,1157100,1179800,1200900,1216400,1224500,1231200,1238200,1253200,1269100,1278000,1279200,1284100,1290200,1299200,1310100,1311700,1304500,1305500,1315100,1325600,1334000,1339500,1345100,1352400,1356200,1355500,1355700,1356400,1363000,1376500,1394200,1408600,1419100,1423300,1420300,1414700,1416400,1424900,1434400,1450500,1469700,1481100,1484200,1489200,1496400,1506700,1524200,1544000,1555200,1559400,1568400,1585900,1608200,1631600,1658600,1687800,1716700,1744100,1771300,1800300,1829600,1854900,1876700,1896300,1910200,1920800,1935500,1952400,1970900,1993100,2022100,2052300,2086300,2119300,2143600,2161200,2183900,2207400,2228900,2245600,2259600,2273800,2285900,2297800,2314700,2333600,2345800,2353400,2358600,2364000,2379500,2402100,2413000,2416000,2427800,2439300,2435500,2425800,2429600,2441200,2444600,2435500,2444700,2466500,2464100,2422500,2387500,2364300,2352500,2341300,2324200,2299600,2280000,2261400,2263500,2270100,2259300,2232800,2208800,2177800,2149100,2122700,2098300,2080800,2072600,2090800,2013600,1883800,1836500,1865300,1848800,1827900,1817200,1811900,1811100,1809500,1809900,1805400,1810000,1826700,1846900,1878300,1919400,1939600,1941300,1941500,1936600,1934600,1922900,1897000,1884800,1896300,1902100,1896800,1903000,1924300,1959300,1994100,2014400,2026700,2047800,2071000,2111200,2172800,2209200,2205300,2216800,2261800,2300400,2341900,2376400,2387400,2381000,2395200,2425400,2446500,2456800,2474700,2495500,2496100,2507300,2536000,2576500,2593800,2573700,2529000,2526500,2566200,2614500,2657600,2683000,2694500,2727300,2770500,2802100,2839000,2878600,2903900,2933400,2971400,2996500,2995200,2995200,3009500,2940800,2831900,2799900,2870000,2953900,3035800,3090000,3086900,3035100,3004900,3025200,3050300,3079600,3097000,3105000,3108400,3173300,3282000,3372900,3410400,3448100
Bradbury,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burbank,103340,CA,280,179100,179800,180200,180300,180700,181800,183200,184400,185600,187200,189300,191300,192600,193100,193100,192600,192700,193400,193900,194900,197300,199900,202100,204300,206800,209300,212200,215100,217700,219900,222700,225300,227200,228400,229700,230900,232100,233300,235100,237100,238700,239500,240600,242200,243900,246200,249100,251800,254400,257100,259200,260900,262400,264300,267100,270900,275000,279300,283300,286800,289000,289900,291000,292500,294800,298000,301500,304300,305600,307000,309500,312900,317900,325400,333000,340500,348200,354900,361000,367300,372900,378200,383500,388000,390600,392100,394900,400400,407700,415000,421900,429800,439300,449400,459200,470700,484900,499600,511200,518800,524600,529800,534600,539600,544900,549600,554900,561200,568300,577200,588800,601200,612600,622200,630300,636100,641600,646300,648900,649600,649000,648400,650800,654000,654500,654200,653700,652400,650800,650800,652000,653400,653500,650700,645100,639500,635100,629600,623700,617600,609500,600200,591500,581400,570700,562400,553800,544000,536000,530600,526100,522500,519100,516600,514300,510600,505300,499100,494600,492700,492400,492000,492200,493900,496500,499200,501500,503600,505400,506200,505500,505600,505900,505400,504700,504300,504400,503300,501400,499700,498900,496600,490800,480400,472200,469300,467400,462900,459900,457600,455200,455100,458200,462300,468500,479200,488600,492500,494300,498900,503400,507200,512100,518600,527000,537500,548700,556600,562000,568600,575400,579500,581500,585300,590400,594500,596600,601700,610200,616500,618900,621200,624800,627800,631700,637300,643600,648600,651100,651400,651400,654500,658300,660900,664000,669500,675000,679800,684500,690100,696500,700300,702300,704700,707500,710200,714500,719700,724600,728200,731900,736500,741000,745000,748100,751500,756900,763700,769000,773600,779200,785600,790100
Calabasas,23058,CA,3009,357500,356900,356000,356300,355600,355100,354900,356100,358100,359900,361600,364800,365500,361400,356500,354600,355200,359200,365100,371500,379900,388500,394300,396700,396800,397000,403200,414300,424900,430200,433300,436500,439200,442600,447500,452600,460200,470600,476000,472900,468200,467800,469300,470000,468500,465800,465600,472300,482500,493900,507400,520000,529900,533200,531900,532200,537800,542700,548300,549900,547900,544300,539900,535900,535800,536800,539600,544400,550600,556900,561400,562800,563800,566600,573300,583000,593500,604700,616300,625900,633000,640900,650800,660900,672700,683800,693800,705800,719300,733200,745700,757900,772400,786000,796700,812500,834500,854100,870600,885400,895700,900200,903400,907900,915400,929000,948100,965600,977800,988300,996200,1003000,1012900,1032200,1060100,1089200,1105800,1116400,1118100,1114100,1110900,1119800,1124400,1123000,1124400,1132600,1134400,1127500,1114100,1100900,1096700,1098400,1100700,1095800,1087800,1076900,1064100,1049000,1037600,1025600,1009500,991100,977400,965600,951500,941600,941200,941000,934600,923900,914500,908700,905200,899000,891400,882900,872300,858300,849600,845200,839900,828400,814500,803500,810000,824300,831600,826900,822200,820700,823300,826200,826900,824600,822800,822500,821100,822900,821300,820000,822600,828300,823200,815000,806700,803100,798600,793600,788000,786100,783200,786200,794900,799400,796900,793600,796400,810000,827000,841500,851600,859600,871900,882000,885400,895400,908500,923900,952600,983900,1001200,1007500,1002300,988600,989300,1005900,1022100,1022300,1016400,1015800,1013200,1009800,1013700,1018600,1019300,1022300,1020400,1016000,1008900,1001200,998700,997600,993400,988300,986700,989600,992600,991600,991700,993000,993200,994400,1002700,1012000,1015800,1011300,1008400,1016200,1032600,1043900,1053000,1062800,1072000,1083500,1099800,1113000,1119800,1122100,1127900,1139200,1155300,1170500,1179500
Carson,91714,CA,490,151500,151100,150800,150600,150500,150700,150600,150500,150500,151000,151400,151900,152400,153200,154200,155200,156000,156800,157400,157900,158500,159700,160900,162200,163500,164800,165400,165600,165900,166900,168400,169900,170900,171600,172300,173000,173600,174500,175000,175100,175600,176800,178000,179700,181700,183500,184700,186300,188000,189400,191100,193600,195600,197000,198900,200600,202000,204000,206400,208200,209500,211400,213800,216200,217900,219400,221100,223100,225100,227700,231400,234800,237800,240900,244400,247600,250300,252800,256100,260500,265600,271000,276100,280900,284700,287000,288900,292600,299200,306600,312500,317500,323200,328900,334200,340600,349000,358200,366700,375000,383100,391500,400700,409600,417600,424800,432000,439400,448000,457600,467200,475200,481500,487000,492600,498100,502800,505900,508100,510500,513500,517900,523800,529300,533100,534800,534900,535000,534500,534300,535600,536700,535900,534700,532400,528000,522600,516400,509900,502900,492500,480100,468200,456500,443900,431600,419100,408200,399400,391800,384600,378000,370500,363300,356900,350700,343500,335600,329500,326500,324600,322900,321900,319900,323100,330300,334500,334600,335500,335300,334700,333500,332900,332700,331400,329700,327400,324800,323300,322600,322100,322800,322100,319300,315700,312900,312100,313500,314600,314300,313600,314200,316100,318700,322100,325900,329300,332500,334600,337300,340600,343600,346600,351600,357300,364000,371200,378500,384500,389100,392600,394900,395300,396300,399000,403100,407200,410800,414000,417200,419700,420700,421200,421400,422700,424800,427700,430000,431700,432800,435000,437800,440700,443000,445900,449300,451300,452500,455800,460700,465400,468800,469800,469100,469500,472100,475500,479500,483600,487200,490200,493500,496200,498200,500600,503600,507300,512000,516800,521200,524600,528400,531700
Cerritos,49041,CA,1030,205700,205600,205300,205100,205200,205200,205500,206600,208700,211500,214400,216500,217500,217900,218200,218200,218500,219600,221200,223200,225100,227100,229000,230100,231300,233300,235700,237500,238700,239600,240900,243100,245400,246900,247400,248000,248400,248600,249300,250800,252700,254800,257500,260300,262900,265200,267700,270000,272500,275000,277400,279700,281400,282400,283700,285500,288500,291900,294800,297900,301000,302600,304100,306900,310400,313200,316000,319300,322100,324800,328900,333500,338500,344100,349500,355300,361900,368600,375400,382200,388400,394300,399600,403500,406700,410000,414300,421100,429400,439000,448500,456700,463400,470300,477600,488100,503000,520700,536500,546900,553600,559500,564100,568000,573000,578100,584000,592100,602100,613300,624400,634100,643300,649900,654400,659300,664100,667400,669600,671400,669100,665000,664000,665600,665600,666700,667000,663700,657800,654200,654600,656500,657400,656200,652200,646400,641000,635600,630300,624400,618500,612000,604900,594800,582700,571700,561700,552600,546800,542700,539200,537400,535200,532200,528800,525000,520700,515500,511200,510900,513600,516700,520700,524400,532400,544000,551100,550400,550700,551100,550000,544500,538800,533900,531000,529700,530500,530000,528700,527500,526700,527900,530900,533000,531500,529800,527900,524300,518300,513600,511600,513900,517400,520300,522100,525300,527900,528800,528800,531200,536000,541000,546900,555500,562700,569300,578200,588600,596100,601900,606800,613100,614800,612400,611100,614000,617100,621100,627200,632100,634300,635100,636300,635900,635400,636700,638700,640300,642200,643100,643700,645400,647700,649400,651800,653400,654200,655800,659200,662800,667000,670400,667500,662900,664700,670700,675000,679100,683700,688300,692600,695800,699100,701500,702200,702600,705500,709400,715200,723800,731400,735200,736600
Claremont,34926,CA,1716,205500,203800,201100,197900,195700,195200,195000,195500,196600,197500,198100,198200,197800,197000,196300,197300,199500,201600,203100,204700,206000,207000,207500,208400,209100,209600,210800,213200,215800,218100,220400,221900,222400,223100,224800,226800,229600,233900,237800,240100,241700,243600,245000,246500,249100,252000,253900,255400,257800,260600,263500,266500,268500,269200,269900,271200,273300,276100,280200,284400,288400,292700,297200,299700,300400,301200,302600,304600,308000,313100,319700,324500,326900,329900,335600,342200,347600,352300,357600,362800,367200,371300,375500,379800,383100,385000,388100,394400,402400,410300,418700,428300,438800,447900,455200,465000,478600,492800,504400,511700,518700,527600,536600,543600,548800,552900,557100,562300,568700,575800,581300,588800,599100,609100,615900,621000,624900,628300,631500,634300,636400,635300,631100,626500,622400,618100,615200,613900,611800,610600,611400,611900,612100,610900,608200,605300,603700,601400,598400,593000,586600,580200,572100,561800,551800,543300,535500,528700,523300,519800,517100,514500,511800,509400,507500,505400,502800,498800,497000,496400,494200,490400,488100,485700,482800,481200,480600,478700,476800,479800,484700,487100,487400,485400,483600,484400,488000,490900,492900,492100,487900,483000,478800,477000,475600,476700,475700,473700,470400,464400,457000,456000,457900,458700,459000,460300,460100,458500,458600,460600,463000,467400,475200,483400,493000,502600,509900,514400,521000,530200,537900,543200,549300,556900,562400,565400,567100,569800,575700,582100,586900,589200,588800,589200,596400,603700,607800,611100,615200,616900,618300,620000,620900,620900,623000,624400,623800,624500,626700,628100,630700,633600,632700,630400,631400,634800,639400,644000,645800,645700,646700,649700,654200,658200,659500,659400,661000,664400,669300,674500,677200,678800,681000
Commerce,12823,CA,3207,140300,140200,140200,140300,140100,140000,140000,140000,139900,139900,140300,140800,141400,141800,141900,141200,140400,140300,141100,142000,142200,142400,142800,142600,142100,142400,143000,143400,143800,144300,144300,143700,143200,143200,143800,144700,145000,145100,145100,145200,145500,146400,147800,149500,151200,153000,154800,156000,156500,157000,157500,157900,157100,155200,154400,155400,156700,157900,159200,160000,160200,160600,161400,162400,163800,165500,167800,170000,172300,175000,178100,181400,184600,187500,189800,191800,193500,194900,195700,196500,198500,201700,205300,209100,212800,216800,221300,225200,228500,232300,236600,241300,246500,251100,254300,256300,260100,265900,272000,280900,293400,305600,314900,322000,328300,334200,339700,346900,355800,365100,374100,382800,390400,398100,405600,413200,419900,423800,425800,428100,430900,434500,440400,445900,447900,448500,449900,451400,452900,455300,460000,464200,466900,468300,467500,464400,460400,456200,450800,443200,432700,422400,413800,405600,395900,384100,368900,354000,343000,334500,326500,319400,312400,305700,299700,293600,286500,279100,273300,269800,267800,266300,265300,265100,267000,270000,271300,270600,269100,267400,266200,266000,265900,265700,266600,267300,266500,264300,261100,257900,256400,255300,254600,253700,251700,249100,247700,245800,243500,242300,242500,244500,247300,251300,255000,257500,259300,261600,262700,264000,266200,268300,271800,277600,283800,289600,295500,300400,305700,310400,312900,316000,321600,326800,329600,330700,331300,333100,335300,337300,339200,341400,343000,343600,343600,343900,344700,345800,348500,352100,353700,353000,352600,353200,354800,357900,361800,366400,372300,378300,382500,383600,390100,399500,402200,397600,397000,398800,400800,403300,407500,411200,413400,415100,415600,416700,420700,427400,432100,435400,437800,439900,440900
Compton,96455,CA,213,113200,112800,112900,113500,114000,114100,114200,114600,115100,115800,116600,117200,117800,118500,119100,119600,120500,121400,122000,122600,123100,123400,123400,123600,124100,124700,124900,124700,124800,125500,126500,127300,127300,126700,126400,126400,126300,126000,125800,125700,125900,126100,126000,125800,126200,127100,128200,129000,129600,130200,131600,133200,133800,133700,134100,134500,134600,135400,136500,137300,137900,138700,139200,139400,139900,140400,140800,141400,142400,143700,144800,145900,147000,148100,149500,151100,152900,155000,157100,159200,161300,163400,165500,167700,170300,172900,174600,176000,177800,180400,183100,186300,190200,194600,199500,205100,211200,217900,224900,231700,238500,245600,252800,260000,267100,273900,280800,288600,296500,303100,309200,315600,321900,327900,334500,341600,347100,350500,353600,357800,363000,369700,378500,388200,395200,398500,400300,402100,403100,403300,403900,405000,404600,403200,401500,400000,398300,396300,394200,392200,387200,379600,371800,363200,351800,340300,329300,318000,307100,296700,286600,276900,266100,255100,245300,236400,226600,216100,206800,200800,197400,195000,193100,190800,194700,203800,209200,208000,208800,211100,211800,210700,210400,211700,212300,211300,208200,204200,202100,202400,203300,204700,206100,206300,205400,204400,204200,204800,205000,204000,202900,203500,205500,208300,211900,214700,216000,216600,216500,216900,217900,219200,221500,225700,229700,233100,235900,238800,241200,243600,245800,247300,248300,249900,252500,255900,258900,261300,262800,265300,268700,271500,274800,279300,283200,286900,291000,294100,295700,297000,298800,301600,305000,307700,310500,314000,316800,318000,318800,320100,321600,322700,325700,330600,334000,334900,336900,339900,342400,345100,349200,354100,358200,362200,366100,368500,370700,374400,378100,382000,384900,386200,387000
Covina,47796,CA,500,153100,152800,152400,152100,151700,151400,151100,151100,151300,151700,152000,152500,152600,152800,153000,153400,153700,154100,154900,156000,157100,158600,160000,161300,162300,162800,162700,162300,162100,162600,163800,165000,165900,166700,167600,168100,168700,170100,171800,173400,175000,176100,176900,178000,179200,180700,182700,184400,185700,187200,188400,189300,190400,191600,192900,193900,195300,197600,200000,201900,204100,207000,210100,212900,215200,217300,219300,221300,223500,226200,229200,232300,235200,238300,241600,244700,248000,251800,255900,260500,264600,267900,270600,273800,277200,280700,284700,289400,294300,299000,303800,309100,315200,322100,329800,338400,347200,354900,361600,368900,376700,384100,390000,394700,400100,405800,410700,415700,422300,429700,437500,445300,453300,461300,469400,477500,484000,488200,491800,495200,496700,498400,502800,507100,508000,507200,506400,505100,501800,498500,497700,497500,496500,494500,490900,485900,480900,476000,471600,466700,458500,448800,438800,428900,418500,408100,396400,386500,379500,374300,369400,365200,360700,356100,352400,348900,345200,341000,337400,335000,333400,332600,332800,332800,337800,345300,349200,348900,351000,352900,353800,352500,351500,349800,346900,344100,342500,341700,340600,338800,336100,334300,333000,332200,331400,330700,329700,328200,325600,323300,322100,322400,323100,324000,326000,328500,330200,331400,332800,336000,339600,342000,345300,351500,357400,363600,371100,378500,385000,391100,396600,401000,403700,405700,408000,410900,413600,416800,420400,424000,426100,427000,427300,426800,426500,428200,431200,434300,436900,438900,440600,441800,442300,443600,446400,450400,453400,454800,456400,459000,462900,466400,468900,471300,473900,475400,477200,480100,483700,486900,490900,495400,499900,503700,506400,507800,510400,514800,519300,523200,526100,529300,532100
Cudahy,23805,CA,2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284900,284100,282700,283000,282300,279900,277900,278500,275900,273000,271100,269600,266300,263300,262500,262300,261300,259300,257600,257300,260500,263200,265800,269800,272800,273200,274600,278800,281600,281500,282900,286700,291400,298000,306400,314400,321000,325100,327200,327400,324800,322100,324400,329500,332500,336500,345000,353200,357700,360900,362100,361400,362600,367200,368200,366200,366100,367300,368000,369700,371100,372000,374700,378000,379700,382400,387800,393400,396200,396700,392500,389500,393700,402900,410500,416000,417400,417100,420100,426500,435000,443500,447800,447300,448100,451300,455600,460700,465400,467600,467800
Culver City,38883,CA,1289,199000,198100,197900,197800,197700,198100,199700,202400,205900,208800,210900,212200,212700,212500,212800,214100,216900,220900,225000,228700,232400,235900,239500,243700,247200,249800,252800,256100,258300,260600,263800,267100,267900,266900,265100,263300,262300,264200,267800,271400,273900,275100,276000,277000,278800,281300,283200,284500,287600,292600,299200,306900,313000,316500,319100,321800,325300,329600,333500,336600,338000,337700,336000,335600,337700,341700,345500,349300,353400,358400,364500,372400,382900,393200,400300,403900,406600,409300,412900,417300,422500,427800,433300,440200,447900,452900,454500,455800,459900,468000,477100,485100,492400,499800,510100,522200,534100,547400,563900,580900,596000,604900,609200,612900,617600,623200,630500,638600,645700,653300,661900,670500,677100,683600,692200,701100,709000,716100,718400,715800,710900,705800,702300,700500,698000,696300,696900,698800,698600,697600,700400,707200,714300,719400,722400,723900,725700,725500,721800,715600,709600,702400,692500,680200,667900,656400,642700,628100,616700,609800,605300,602600,601200,600300,598600,595700,591200,583500,578500,580900,585000,586400,588500,593900,598100,600400,603400,602400,601600,605800,610100,607600,604500,602800,599500,592100,585300,583500,580900,578200,576600,575700,573200,571300,570100,570400,569300,568100,566100,563100,560400,559600,559500,565400,573500,577700,579800,585000,590200,595900,602500,609700,620200,634200,646800,654600,666800,684400,699100,708300,719400,727400,732100,732800,730900,730200,734300,739900,745400,749700,752900,754100,753400,754100,761800,772000,780100,792400,806600,813300,817300,826600,834000,837200,838200,839300,842500,851300,863800,870400,872800,878100,884100,890500,899900,907300,912300,922500,931000,934000,939200,953100,969900,977800,978200,973900,972000,978900,998200,1020600,1042500,1063500,1080500
Diamond Bar,55544,CA,1008,188300,187700,187000,186700,186700,186800,186900,187300,188000,188800,189600,190200,190200,190100,190300,190400,190300,190900,192000,193300,194800,196800,198600,199800,200700,201400,201800,202300,203400,205200,207500,210200,212800,214900,216600,217800,218800,220400,222300,224100,225800,226700,227300,228500,230500,233200,235700,237600,239600,242100,244600,246800,248300,249200,250300,251800,253800,256400,259800,262800,265100,267100,268800,270600,272900,275600,278100,279900,282100,285400,289300,293400,297700,302000,306700,312100,318000,324300,330900,337500,342200,345600,349300,353500,357400,360900,364600,369400,374900,381500,389400,398200,406800,414900,422400,431800,443400,456100,469300,482100,492800,500100,503000,503800,506400,510600,515500,521000,526400,532200,537900,544100,552500,561400,570400,579200,585000,587000,589200,592200,595800,599900,604800,607300,604500,600000,597700,596700,596000,596400,597400,597500,596400,594500,590500,584800,579900,575700,571100,564600,555300,545300,535700,525900,515500,506100,496100,487200,481700,478800,476000,473700,470800,467800,465500,463100,459500,455400,452400,451500,452100,454200,457200,457900,463100,473400,480600,480600,480800,479600,478300,478400,480000,478800,475700,474200,473400,470200,465600,462900,461800,461900,461700,458100,450700,443400,439800,438800,438900,438500,438300,439700,442400,445800,449400,452900,455100,456600,458500,463100,468700,474000,481000,491800,503200,515400,528300,540500,551200,560700,566100,568100,568800,570800,573100,575100,574700,572200,572100,577100,584500,591500,597200,599600,599400,599100,601700,605500,610200,614300,614400,612300,611200,611000,612100,614800,616100,617000,618800,621100,623300,624400,624000,623500,624500,626900,630400,634700,638200,640800,644900,649500,654000,659800,666600,670500,673200,678100,683700,689700,695600,700100,702400
Downey,111772,CA,250,174900,175200,175200,175000,174800,174400,174200,174100,174000,174200,174700,174800,174200,173700,173000,172300,172000,172300,172300,172600,173400,175000,176500,177700,178200,178800,179200,179300,179500,180500,181700,182800,183500,184200,185200,186600,188300,189900,191300,192600,193500,194200,195700,198100,200900,203800,206800,209000,210500,211900,213400,215500,217900,219800,221300,222700,224400,226600,228900,230600,231600,232500,233400,234900,236500,238200,239900,241700,243500,246000,249100,252200,255600,260000,264500,269100,274100,279100,283900,288900,294100,298900,303100,307200,312200,317200,322200,328100,335000,342500,350100,357500,364600,371200,377600,384700,393200,403500,415500,427500,439000,449000,458100,466400,473500,479700,487200,497300,508300,517900,526700,534000,539700,546000,555500,565700,574600,581500,586700,590800,594200,598100,603000,608000,610800,611200,609000,605500,603000,603300,605900,608600,609800,608700,604800,598400,590900,583300,576100,568100,555200,539400,524600,511000,497100,484600,471500,459300,449800,442300,435100,428400,420200,411400,403800,397100,389800,381700,375200,371500,369600,368200,367100,365400,371500,383300,391100,391300,391400,391600,392200,391500,389800,386300,382400,380600,379400,377600,375500,374500,373100,370800,367200,363500,360600,358900,356400,354000,352300,350900,349600,349500,351000,354800,360200,365400,368900,372000,376200,381600,386100,388800,392300,398600,406200,412500,417500,422800,428800,434400,438400,440500,439800,440100,442300,444800,447000,451700,456100,459200,462100,465600,469300,472000,473200,473900,475800,478600,480800,481600,482700,485200,487600,489500,491500,494600,497800,500200,502900,507000,511200,513700,516600,519800,521600,522700,526000,531000,534800,537000,539800,544100,548600,553500,557900,559900,562200,566900,572700,577300,579700,581200,583500
Duarte,21321,CA,2387,137600,136800,135600,134400,133900,134000,134200,134500,135200,136300,137300,137700,137700,137400,137300,137800,138200,138300,138900,139300,138800,138400,138600,139200,140100,141400,142300,142700,143100,144300,145700,146700,147200,147400,147700,148500,149600,151600,153700,154700,155600,156500,157100,157700,159100,161100,162900,164200,165100,165500,166000,167200,168100,169100,170800,172400,173800,176000,177900,179700,182600,186200,189100,190800,192200,193600,194900,196800,199800,203000,206000,209700,213400,215400,216700,220200,225200,228800,231600,235300,239100,242100,246500,252300,256400,259300,263000,266400,269800,274900,281900,289300,296800,304500,312300,319900,327300,335000,343400,351300,359000,366300,372200,376600,381700,387100,392200,396800,402300,409800,418100,426700,435300,441900,445500,447800,449800,451100,451600,452200,454100,458200,465100,471900,474400,474300,474800,476200,478100,479400,479500,479200,480000,479800,477400,473000,467700,462900,459200,454100,447800,442400,434800,423100,410600,398700,386500,376500,369000,362500,356400,350400,345900,343000,339600,335300,330800,325000,318800,315300,314600,315200,315800,318000,314600,307900,305500,307400,306500,306500,308000,308400,308100,309200,310600,310800,312700,314000,313100,311100,310900,311400,311000,307800,303000,298000,294300,291600,290100,290300,291300,291600,292500,294200,295400,297900,301700,304100,304700,307100,311300,315600,321300,328300,334400,340200,347000,352900,357900,363800,370100,374300,377400,379400,380100,382700,387900,391300,393600,397200,400900,403700,405000,404300,405200,408600,412100,413600,415000,416400,417500,417400,416200,415100,415300,417400,420900,424800,427800,430000,431500,431800,435200,440800,443200,443000,445500,448900,451300,453200,454800,457200,461900,467400,470300,470900,473000,477200,480800,482000,483100,486500,490700
El Monte,113475,CA,279,137500,137600,137800,137900,137500,136800,136200,136100,136400,136700,137200,137600,137700,137600,137300,137400,137500,137500,137800,138000,138200,139000,140200,141000,141300,141500,141600,141800,142300,143100,143600,144000,144600,144900,144700,144800,145400,146100,146400,146600,147200,147900,148800,149700,151100,152700,154500,155900,157100,158500,159600,160300,160700,161300,161900,162900,164500,166200,168200,169800,170800,171700,173000,173900,174600,175900,177700,179700,182100,184900,187400,189500,191400,193500,197100,202100,207000,211300,215900,220200,223800,227000,230800,235500,240400,244800,248800,251600,254400,258200,263000,268100,273200,278300,283900,290700,298300,306700,315600,324900,334200,341900,347400,351900,356600,362500,368700,375300,382600,389600,395700,402600,410800,419000,427100,435200,441500,445300,447200,448400,449600,452100,455100,457700,459600,460100,459600,459000,457500,455900,457000,459500,460900,459400,456000,451400,446600,442500,438300,432300,423400,413700,403500,393700,384800,377200,370200,364200,358500,353000,348200,343900,339100,334300,330400,326900,322500,317000,311900,309100,308300,308300,308700,309300,314700,323500,329500,330000,330300,331400,332400,330700,328500,326800,324600,323000,322300,320500,317800,316200,315000,314600,313700,312300,310700,309700,309600,309800,308800,307700,307600,308100,309300,310900,313400,316300,318300,319000,320000,322600,326300,330000,334400,340200,346900,354100,361900,368900,374100,378600,382900,385800,387000,388200,389800,392900,395400,397300,399700,403800,408500,412500,415000,416500,417400,418300,419900,421700,423600,425600,425800,425300,425800,427700,430100,433500,435600,436800,439200,442900,446400,448200,450900,454500,456500,456300,457500,459800,462100,463900,467600,473100,478200,482400,485900,488300,491800,497200,501800,505400,509500,515000,519200
