RegionID,RegionName,SizeRank,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
31,Minnesota,21,184300,184000,183300,182300,181100,179800,178600,177700,176900,176200,175700,173500,169600,167000,166300,165900,165500,165100,164500,163200,161600,160000,158800,158200,157900,156900,155000,153200,152200,151600,150800,150100,149500,148900,148000,147400,147400,147900,148900,150000,150600,151100,151900,153000,154100,155100,155900,156800,157900,159200,160300,161200,162000,163100,164200,165300,166200,167100,168100,169400,170400,171200,171900,172800,173600,174400,175100,175700,176100,176300,176500,177000,177600,178000,178500,179000,179800,180700,181500,182100,183000,184200,185200,186300,187500,188600,189700,191000,192400,193600,194800,196100,197300,198400,199700,201400,203000,203800,204900,206600,207800,208200,208700,209600,210900,212000,212600,213100
34,Mississippi,30,114800,117100,119200,121600,124000,126100,127100,127000,126800,126400,125700,123600,120900,119400,119300,118800,117700,116400,115400,114500,113500,112600,111800,111500,111400,111200,110800,110500,110300,110300,110500,110400,110100,109900,109600,109300,109100,108600,107900,107500,107200,107000,106900,107000,107000,107000,107000,107300,107500,107500,107400,107400,107400,107400,107500,107400,107200,107400,107600,107700,107900,108100,108300,108400,108500,108400,108100,108000,108000,108100,108200,108000,107900,108000,108300,108400,108600,108800,108800,108800,109200,109400,109300,109100,109400,109700,109900,109900,110000,110100,110500,111100,111500,111900,111900,111800,111600,111900,112200,112500,113000,113600,114100,114500,114600,114300,115700,118600
32,Missouri,18,145600,145500,144900,144100,143200,142500,142000,141700,141500,141500,141800,140500,138000,136400,136200,135800,135400,135000,134500,133800,132800,131800,130900,130500,130500,130200,129600,128800,128100,127500,127000,126400,125700,124800,123700,123100,122700,122300,122000,121900,121500,121300,121400,121500,121300,121400,121700,122000,122300,122500,122500,122400,122700,123000,123200,123300,123500,123700,123800,124000,124200,124400,124600,124800,125100,125300,125400,125600,125900,126200,126400,126800,127200,127400,127600,127800,128100,128500,128800,129100,129500,130100,130500,130800,131300,131800,132500,133500,134500,135400,136100,136800,137500,138200,138900,139300,139700,139900,140100,140500,140900,141000,141000,141400,142000,142700,143400,144400
35,Montana,43,195600,199400,201900,204400,206600,209600,212500,213600,212000,209500,207800,198400,185300,179100,180100,179700,179300,178400,177500,176800,176200,175600,175100,176000,177500,177800,176900,176400,175800,175000,173900,172700,171800,171300,170500,170800,171800,172100,171200,170700,170400,170300,170100,169900,170000,170100,169900,170700,172000,172800,172800,173100,173300,173500,173700,174000,174200,174400,174500,175200,176400,177200,177100,177000,177300,177600,177800,178200,178800,179400,179800,180500,181400,182100,182500,183000,183200,183200,183300,183600,184000,184400,184900,186000,187200,188100,188700,189000,189200,189900,190800,191800,193100,194400,195400,196600,198000,199000,199800,200800,201900,202600,203000,203200,203600,204600,206500,209500
38,Nebraska,37,122300,122000,122000,121600,120900,120400,120200,120200,120500,121300,121700,122900,124600,125400,124900,124200,123800,123600,124000,123800,122300,120400,118900,118200,118300,118700,119000,119900,121100,121500,121000,120500,119900,119700,120000,120400,120500,120500,120500,120600,120700,121100,121700,122400,123100,123600,123800,123900,123900,124000,124300,124500,124800,125200,125500,125600,125900,126100,126500,126500,126500,126800,127100,127200,127400,127500,127800,128400,129200,129600,130000,130200,130200,130600,131600,132600,133200,133600,134100,134800,135600,136300,136800,137100,137300,137500,138300,139200,139700,140000,140200,140500,141500,142800,144200,145200,145900,146500,147300,148200,149400,150600,151300,152300,153600,154900,155900,156800
42,Nevada,34,201400,196400,191300,185800,180400,174500,168700,163900,160400,157400,155000,152700,150300,148800,148100,147100,146000,144700,143300,141900,140900,140000,139400,138600,137200,135200,133100,131400,129900,128300,126800,125600,124500,123700,123000,122900,123400,124100,124600,125400,126600,128100,129800,131600,133100,134600,136300,138500,141200,144100,147100,150000,153500,157600,161700,165200,168500,171500,174000,176000,177600,178900,180400,182100,183900,185300,186300,187100,188200,188900,190000,191800,193400,194700,196300,198100,199700,201700,203500,205000,206500,208000,209300,210000,210800,211800,213400,215300,216600,218800,221600,223700,224900,226300,227700,229400,231200,233100,235300,238100,241300,243900,246000,249000,252600,256000,258800,260600
39,New Hampshire,41,220000,218800,217700,216100,214000,212000,210700,210000,209200,208600,208200,209100,210300,210000,208700,208100,207700,207400,206900,206700,206300,205100,203500,201900,200300,199400,199200,198800,198100,197900,198500,199200,199100,198600,198500,198500,198200,197600,196700,196100,196100,196300,196500,196400,196700,197300,198000,198200,198600,199200,199700,200300,201400,202900,203600,204100,204700,205500,205900,206700,207500,208000,208200,209000,209900,210900,211600,212200,212800,213400,213700,213800,214500,216200,218200,219400,220200,220900,221500,222100,222500,222800,223600,224500,224900,225300,226500,228100,229400,230200,230500,231300,232700,234400,236200,237500,238600,240200,242100,243900,245400,246300,246900,247700,249000,250300,251600,252600
40,New Jersey,11,321200,319300,317300,314900,312200,309400,307100,305500,304400,303300,302400,301000,299300,297900,296800,295200,293900,293200,292300,290600,288500,286900,285400,284000,282700,281300,279600,277900,276300,274900,273500,271900,270000,268300,266500,264900,263800,263100,262400,262200,262500,262500,262500,263000,263500,263600,263800,264700,265400,265600,266200,266900,267400,268000,269000,270100,271400,272300,273100,273700,274300,274900,275600,276600,277900,278900,279400,279800,279900,279700,279400,279700,280100,280100,280200,280900,282000,283000,283700,284300,284600,285000,285500,285900,286200,286900,288100,289500,290500,291000,291700,292800,294100,296000,298200,299800,300800,302200,303400,303200,303000,304100,305400,306400,308300,310000,310700,311000
41,New Mexico,35,192100,193600,194400,195100,196300,196200,195700,194600,192400,190100,189800,185800,179800,177000,177400,176600,175900,175100,173800,172600,171600,170100,168200,167300,167300,166700,165500,164700,164200,163600,162500,161800,161400,160800,159700,159300,159100,158700,158100,157700,157200,157000,157100,157100,157400,157600,157400,157300,157500,157600,157300,157200,157100,157100,157100,157300,157400,157400,157300,157400,157700,157900,157800,158000,158300,158500,158900,159400,159600,159500,159400,159700,160200,160600,160800,161000,161200,161600,162200,162500,162800,162900,162500,162400,162800,163300,163600,164000,164300,165000,165800,165900,166600,168400,169900,170700,171500,172500,173100,173700,174800,175200,173900,173000,173500,174300,176700,180300
43,New York,3,291300,286800,283900,280600,276700,273200,271100,270200,269400,268900,268600,268200,267700,266900,265500,264000,263000,262100,260900,259900,258800,257700,256900,256000,254600,253600,253100,252700,252500,252100,251300,250200,249200,248000,247000,245700,244200,243500,243600,243300,242800,242600,242700,242800,243100,243300,243400,243400,243300,243300,243500,243900,244600,245200,245900,246400,246800,247300,248000,248400,248700,248900,249100,249200,249900,250700,251700,252700,253300,253600,254200,254600,254900,255500,256200,256900,257500,258200,259000,260000,261400,262400,262900,263800,265000,265900,266500,266900,267500,268200,269000,270100,271700,273600,275700,277800,280200,283300,287600,293500,299300,302100,302600,303400,304700,305900,306700,307700
